  encounter_id  |   status    |        start_at         |         end_at          |          diff          
----------------+-------------+-------------------------+-------------------------+------------------------
 202604BS000013 | In Progress | 2026-04-06 07:01:07.068 |                         |                       
 202604BS000013 | Arrived     | 2026-04-06 07:00:54.597 | 2026-04-06 07:01:07.056 | 0.20765000000000000000
 202604BS000012 | Finished    | 2026-04-06 06:59:06.967 |                         |                       
 202604BS000012 | Finished    | 2026-04-06 06:52:37.009 | 2026-04-06 06:59:06.961 |     6.4992000000000000
 202604BS000012 | In Progress | 2026-04-06 02:31:14.72  | 2026-04-06 06:52:36.995 |   261.3712500000000000
 202604BS000012 | Arrived     | 2026-04-06 02:31:04.94  | 2026-04-06 02:31:14.715 | 0.16291666666666666667
 202604BS000011 | Finished    | 2026-04-05 16:33:44.999 |                         |                       
 202604BS000011 | Finished    | 2026-04-05 15:50:58.096 | 2026-04-05 16:33:44.956 |    42.7810000000000000
 202604BS000011 | Finished    | 2026-04-05 15:50:45.844 | 2026-04-05 15:50:58.092 | 0.20413333333333333333
 202604BS000006 | Finished    | 2026-04-04 19:38:11.51  |                         |                       
 202604BS000006 | Finished    | 2026-04-04 19:37:58.93  | 2026-04-04 19:38:11.506 | 0.20960000000000000000
 202604BS000006 | Finished    | 2026-04-04 19:36:26.651 | 2026-04-04 19:37:58.927 |     1.5379333333333333
 202604BS000011 | In Progress | 2026-04-04 17:40:07.234 | 2026-04-05 15:50:45.832 |  1330.6433000000000000
 202604BS000011 | Arrived     | 2026-04-04 17:39:48.434 | 2026-04-04 17:40:07.229 | 0.31325000000000000000
 202604BS000010 | Arrived     | 2026-04-04 03:38:44.355 |                         |                       
 202604BS000009 | Arrived     | 2026-04-04 03:25:35.73  |                         |                       
 202604BS000008 | Arrived     | 2026-04-04 03:03:55.959 |                         |                       
 202604BS000007 | In Progress | 2026-04-04 02:44:05.412 |                         |                       
 202604BS000006 | In Progress | 2026-04-03 17:58:21.489 | 2026-04-04 19:36:26.645 |  1538.0859333333333333
 202604BS000005 | Finished    | 2026-04-03 17:40:38.74  |                         |                       
(20 rows)

